index, memory location, data type, hex value, dec, voltage
[415], 0x001F3E, int, 0x088C, 2188, 1.76239013671875
[416], 0x001F40, int, 0x08B0, 2224, 1.79139404296875
[417], 0x001F42, int, 0x088F, 2191, 1.76480712890625
[418], 0x001F44, int, 0x0872, 2162, 1.74144287109375
[419], 0x001F46, int, 0x0834, 2100, 1.69149169921875
[420], 0x001F48, int, 0x0803, 2051, 1.65201416015625
[421], 0x001F4A, int, 0x07D7, 2007, 1.61656494140625
[422], 0x001F4C, int, 0x07A6, 1958, 1.57708740234375
[423], 0x001F4E, int, 0x0780, 1920, 1.54647216796875
[424], 0x001F50, int, 0x0787, 1927, 1.55211181640625
[425], 0x001F52, int, 0x077B, 1915, 1.54244384765625
[426], 0x001F54, int, 0x07C4, 1988, 1.60125732421875
[427], 0x001F56, int, 0x07E8, 2024, 1.63026123046875
[428], 0x001F58, int, 0x0833, 2099, 1.69068603515625
[429], 0x001F5A, int, 0x0865, 2149, 1.73096923828125
[430], 0x001F5C, int, 0x0880, 2176, 1.75272216796875
[431], 0x001F5E, int, 0x0888, 2184, 1.75916748046875
[432], 0x001F60, int, 0x088F, 2191, 1.76480712890625
[433], 0x001F62, int, 0x0863, 2147, 1.72935791015625
[434], 0x001F64, int, 0x0820, 2080, 1.67537841796875
